emoji,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,
😔,sad,emotional,indie,alternative,ballad,folk,indie folk,acoustic,melancholic,
😟,anxiety,alternative,indie,emotional,sad,ballad,acoustic,singer-songwriter,introspective,
😠,metal,hardcore,punk,industrial,nu metal,aggressive,hard rock,alternative metal,rage,
😈,metal,heavy metal,black metal,death metal,industrial,gothic,dark,horror,evil,
👿,metal,hardcore,punk,industrial,aggressive,hard rock,nu metal,grindcore,dark,
🎃,horror,metal,gothic,industrial,dark,punk,horror punk,experimental,eerie,
🦇,gothic,darkwave,industrial,dark,metal,ethereal,ambient,post-punk,horror,
🕷️,dark,industrial,experimental,noise,ambient,gothic,atmospheric,eerie,uncanny,
🦂,metal,hard rock,rock,aggressive,dark,hardcore,nu metal,heavy,intense,
🐍,blues,rock,psychedelic,jam band,funk,soul,jazz,groove,bass,
🦅,rock,classic rock,folk rock,country rock,americana,heartland rock,alternative,acoustic,anthemic,
🦁,rock,metal,anthemic,power,epic,hard rock,arena rock,alternative,majestic,
🐯,rock,metal,aggressive,intense,hard rock,alternative,punk,hardcore,powerful,
🐻,folk,americana,country,indie folk,acoustic,folk rock,roots,organic,earthy,
🐨,chill,ambient,lo-fi,downtempo,mellow,relaxing,indie,soft,cute,
🐼,indie,alternative,chill,lo-fi,cute,soft,mellow,indie pop,relaxing,
🐸,funk,ska,reggae,alternative,indie,groove,bass,bubblegum,quirky,
🦄,pop,electronic,synth-pop,dream pop,indie pop,magical,psychedelic,bubblegum pop,fantasy,
🐝,indie,alternative,indie pop,folk,acoustic,organic,natural,upbeat,buzzy,
🦋,dream pop,shoegaze,ambient,electronic,ethereal,indie,alternative,psychedelic,light,
🐞,indie,pop,indie pop,cute,quirky,folk,acoustic,whimsical,playful,
🐦,folk,indie folk,acoustic,americana,singer-songwriter,organic,natural,roots,peaceful,
🦉,ambient,electronic,downtempo,trip hop,mysterious,dark,atmospheric,nocturnal,moody,
🦚,world,indian,classical,fusion,exotic,orchestral,cinematic,epic,majestic,
🦜,tropical,latin,salsa,samba,reggae,calypso,world,exotic,karaoke,
🐬,ambient,electronic,chill,ocean,atmospheric,relaxing,peaceful,dance,uplifting,
🐳,ambient,electronic,post-rock,drone,atmospheric,ocean,epic,cinematic,deep,
🦈,metal,aggressive,intense,dark,hard rock,alternative,thrash,heavy,dangerous,
🐙,experimental,electronic,ambient,psychedelic,complex,abstract,drone,atmospheric,weird,
🦑,experimental,electronic,ambient,abstract,noise,drone,avant-garde,industrial,uncanny,
🦐,funk,groove,bass,soul,funky,disco,dance,r&b,playful,
🦞,funk,jazz fusion,soul,groove,bass,disco,electronic,dance,fancy,
🦀,funk,ska,reggae,groove,bass,alternative,indie,quirky,playful,
🦟,noise,experimental,industrial,annoying,electronic,gritty,harsh,ambient,minimal,
�Dead,horror,metal,punk,horror punk,industrial,dark,gothic,grindcore,undead,
🧟,horror,metal,punk,industrial,dark,gothic,horror punk,experimental,eerie,
🧛,gothic,darkwave,industrial,dark,metal,ethereal,post-punk,ambient,mysterious,
🧠,experimental,electronic,progressive,complex,math rock,avant-garde,progressive rock,art rock,intellectual,
💀,metal,death metal,black metal,horror,punk,grindcore,dark,heavy,extreme,
☠️,metal,heavy metal,punk,horror,rock,hardcore,dark,biker,rebel,
💩,comedy,novelty,punk,alternative,indie,funny,搞笑,experimental,absurd,
👻,ambient,ethereal,dark,gothic,post-punk,industrial,atmospheric,supernatural,eerie,
🤖,electronic,techno,industrial,synthwave,cyberpunk,experimental,robotic,futuristic,machine,
👾,electronic,synthwave,chiptune,8-bit,experimental,retro,cyberpunk,sci-fi,video game,
🎭,musical,broadway,soundtrack,classical,opera,orchestral,cinematic,dramatic,performance,
🎨,experimental,art rock,art pop,indie,alternative,avant-garde,creative,abstract,visual,
📷,indie,alternative,indie pop,dream pop,lo-fi,chill,nostalgic,vintage,mellow,
🎬,soundtrack,cinematic,orchestral,classical,epic,dramatic,film score,ambient,hollywood,
📺,electronic,synthwave,retro,80s,new wave,pop,nostalgic,vintage,television,
🎮,chiptune,8-bit,electronic,video game,retro,synthwave,punk,indie,game_music,
🎲,funk,disco,dance,playful,upbeat,pop,groove,bass,entertaining,
🎯,rock,anthemic,power,pop,motivational,upbeat,catchy,driving,energetic,
🎪,world,experimental, avant-garde,circus,dark,macabre,electronic,weird,theatrical,
🎢,edm,electronic,high-energy,upbeat,dance,trance,progressive house,energetic,thrilling,
🎡,dream pop,electronic,ambient,romantic,atmospheric,chill,downtempo,mellow,peaceful,
🎠,music box,classical,ambient,nostalgic,vintage,whimsical,playful,childhood,magical,
🏖️,tropical,reggae,calypso,surf rock,summer,chill,dance,latin,relaxing,
🏔️,folk,americana,acoustic,organic,earth,ambient,post-rock,epic,grand,
🌋,metal,industrial,intense,aggressive,dark,powerful,epic,heavy,eruption,
